InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Country_encoded
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-0.14364637374059963,12/1/2010 8:26,-0.11514469336835181,17850.0,United Kingdom,-0.09378219674906585,21
536365,71053,WHITE METAL LANTERN,-0.14364637374059963,12/1/2010 8:26,0.052669596057254416,17850.0,United Kingdom,-0.025685382173420326,21
536365,84406B,CREAM CUPID HEARTS COAT HANGER,-0.09859289725327557,12/1/2010 8:26,-0.07518891017177888,17850.0,United Kingdom,-0.0032566694362037517,21
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-0.14364637374059963,12/1/2010 8:26,0.052669596057254416,17850.0,United Kingdom,-0.025685382173420326,21
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,-0.14364637374059963,12/1/2010 8:26,0.052669596057254416,17850.0,United Kingdom,-0.025685382173420326,21
536365,22752,SET 7 BABUSHKA NESTING BOXES,-0.23375332671524776,12/1/2010 8:26,0.9037277781442572,17850.0,United Kingdom,-0.09378219674906582,21
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-0.14364637374059963,12/1/2010 8:26,0.22447946380251785,17850.0,United Kingdom,0.04403278513021674,21
536366,22633,HAND WARMER UNION JACK,-0.14364637374059963,12/1/2010 8:28,-0.2549899345563569,17850.0,United Kingdom,-0.1505295422287704,21
536366,22632,HAND WARMER RED POLKA DOT,-0.14364637374059963,12/1/2010 8:28,-0.2549899345563569,17850.0,United Kingdom,-0.1505295422287704,21
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,0.44204882059461326,12/1/2010 8:34,-0.2869545611136152,13047.0,United Kingdom,0.43018495984687316,21
536367,22745,POPPY'S PLAYHOUSE BEDROOM ,-0.14364637374059963,12/1/2010 8:34,-0.20504520556064076,13047.0,United Kingdom,-0.1302626331288759,21
536367,22748,POPPY'S PLAYHOUSE KITCHEN,-0.14364637374059963,12/1/2010 8:34,-0.20504520556064076,13047.0,United Kingdom,-0.1302626331288759,21
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,-0.09859289725327557,12/1/2010 8:34,0.1245900058110856,13047.0,United Kingdom,0.10483351242990022,21
536367,22310,IVORY KNITTED MUG COSY ,-0.14364637374059963,12/1/2010 8:34,-0.2949457177529298,13047.0,United Kingdom,-0.16674306950868603,21
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,-0.14364637374059963,12/1/2010 8:34,0.22447946380251785,13047.0,United Kingdom,0.04403278513021674,21
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,-0.21122658847158574,12/1/2010 8:34,0.364324704990523,13047.0,United Kingdom,-0.09986226947903416,21
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,-0.23375332671524776,12/1/2010 8:34,1.3632192849048452,13047.0,United Kingdom,-0.031630342176056064,21
536367,21754,HOME BUILDING BLOCK WORD,-0.21122658847158574,12/1/2010 8:34,0.5641036209733875,13047.0,United Kingdom,-0.059328451279245166,21
536367,21755,LOVE BUILDING BLOCK WORD,-0.21122658847158574,12/1/2010 8:34,0.5641036209733875,13047.0,United Kingdom,-0.059328451279245166,21
536367,21777,RECIPE BOX WITH METAL HEART,-0.1886998502279237,12/1/2010 8:34,0.9636614529391164,13047.0,United Kingdom,0.12915380334977364,21
536367,48187,DOORMAT NEW ENGLAND,-0.1886998502279237,12/1/2010 8:34,0.9636614529391164,13047.0,United Kingdom,0.12915380334977364,21
536368,22960,JAM MAKING SET WITH JARS,-0.14364637374059963,12/1/2010 8:34,0.22447946380251785,13047.0,United Kingdom,0.04403278513021674,21
536368,22913,RED COAT RACK PARIS FASHION,-0.21122658847158574,12/1/2010 8:34,0.364324704990523,13047.0,United Kingdom,-0.09986226947903416,21
536368,22912,YELLOW COAT RACK PARIS FASHION,-0.21122658847158574,12/1/2010 8:34,0.364324704990523,13047.0,United Kingdom,-0.09986226947903416,21
536368,22914,BLUE COAT RACK PARIS FASHION,-0.21122658847158574,12/1/2010 8:34,0.364324704990523,13047.0,United Kingdom,-0.09986226947903416,21
536369,21756,BATH BUILDING BLOCK WORD,-0.21122658847158574,12/1/2010 8:35,0.5641036209733875,13047.0,United Kingdom,-0.059328451279245166,21
536370,22728,ALARM CLOCK BAKELIKE PINK,0.261834914645317,12/1/2010 8:45,0.1245900058110856,12583.0,France,0.91550987642568,8
536370,22727,ALARM CLOCK BAKELIKE RED ,0.261834914645317,12/1/2010 8:45,0.1245900058110856,12583.0,France,0.91550987642568,8
536370,22726,ALARM CLOCK BAKELIKE GREEN,-0.008485944278627418,12/1/2010 8:45,0.1245900058110856,12583.0,France,0.30750260342884517,8
536370,21724,PANDA AND BUNNIES STICKER SHEET,-0.008485944278627418,12/1/2010 8:45,-0.4547688505392214,12583.0,France,-0.16268968768870712,8
536370,21883,STARS GIFT TAPE ,0.261834914645317,12/1/2010 8:45,-0.4947246337357943,12583.0,France,-0.08972881492908691,8
536370,10002,INFLATABLE POLITICAL GLOBE ,0.8024766324932058,12/1/2010 8:45,-0.4547688505392214,12583.0,France,0.25075525794914055,8
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,0.261834914645317,12/1/2010 8:45,-0.3748572841460756,12583.0,France,0.10483351242990022,8
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,0.1266744851833448,12/1/2010 8:45,-0.03523312697520594,12583.0,France,0.41694391256827545,8
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,0.261834914645317,12/1/2010 8:45,-0.03523312697520594,12583.0,France,0.6560934399470306,8
536370,22629,SPACEBOY LUNCH BOX ,0.261834914645317,12/1/2010 8:45,-0.23501204295807046,12583.0,France,0.33182289434871853,8
536370,22659,LUNCH BOX I LOVE LONDON,0.261834914645317,12/1/2010 8:45,-0.23501204295807046,12583.0,France,0.33182289434871853,8
536370,22631,CIRCUS PARADE LUNCH BOX ,0.261834914645317,12/1/2010 8:45,-0.23501204295807046,12583.0,France,0.33182289434871853,8
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,0.17172796167066887,12/1/2010 8:45,-0.4547688505392214,12583.0,France,-0.07081303310251874,8
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,0.261834914645317,12/1/2010 8:45,-0.2949457177529298,12583.0,France,0.2345417306692249,8
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,0.261834914645317,12/1/2010 8:45,-0.03523312697520594,12583.0,France,0.6560934399470306,8
